species,genus,family,CTmin,CTmax,Topt,habitat,lat,lon,taxa,source
shadabi,Clavigralla,NA,19.3,33.0677,28.8,terrestrial,6.45,2.35,insects,Deutsch et al. 2008
lariophaga,Uscana,NA,17.76,41.04,36.3,terrestrial,13.48,2.17,insects,Deutsch et al. 2008
capitata,Ceratitis,NA,13.28,31.78,27.98,terrestrial,20.88,-156.52,insects,Deutsch et al. 2008
dorsalis,Bactrocera,NA,11.75,36.2,32.6,terrestrial,23.12,113.25,insects,Deutsch et al. 2008
flavipes,Cotesia,NA,10.75,34.625,29.275,terrestrial,25,68,insects,Deutsch et al. 2008
argentifolia,Bemisia,NA,7.275,36.475,29.625,terrestrial,25.47,-80.48,insects,Deutsch et al. 2008
lineolata,Diatraea,NA,6.1,31.4,25.3,terrestrial,26,-98.8,insects,Deutsch et al. 2008
rufiabdominalis,Rhopalosiphum,NA,5.28,33.52,27.48,terrestrial,26.14,-81.8,insects,Deutsch et al. 2008
citri,Diaphorina,NA,13.14,31.96,27.84,terrestrial,26.2,-80.1,insects,Deutsch et al. 2008
plutellae,Cotesia,NA,10.875,36.175,30.075,terrestrial,30.25,120.2,insects,Deutsch et al. 2008
perseae,Scirtothrips,NA,12.5,28.15,21.35,terrestrial,33.4,-117.2,insects,Deutsch et al. 2008
citricola,Aphis,NA,8.625,30.225,25.8,terrestrial,34.98,138.4,insects,Deutsch et al. 2008
citricidus,Toxoptera,NA,9.48,30.92,26.4,terrestrial,34.98,138.4,insects,Deutsch et al. 2008
tabaci,Thrips,NA,10.075,30.025,25.525,terrestrial,35.36,132.75,insects,Deutsch et al. 2008
gossypii,Aphis,NA,8.95,35.95,28.3,terrestrial,36.07,114.22,insects,Deutsch et al. 2008
kimi,Paronychiurus,NA,9.64,29.54,25.42,terrestrial,37,127.5,insects,Deutsch et al. 2008
pygmaeus,Macrolophus,NA,8.36,32.28,27.08,terrestrial,38,23,insects,Deutsch et al. 2008
brassicae,Brevicoryne,NA,4.8,27.86,22.08,terrestrial,38.93,-92.3,insects,Deutsch et al. 2008
pseudobrassicae,Hyadaphis,NA,8.2,32.1,25.78,terrestrial,38.93,-92.3,insects,Deutsch et al. 2008
persicae,Myzus,NA,6.3,28.82,23.88,terrestrial,38.93,-92.3,insects,Deutsch et al. 2008
raptorellus,Muscidifurax,NA,13.125,36.15,30.525,terrestrial,40.82,-96.67,insects,Deutsch et al. 2008
raptor,Muscidifurax,NA,11.5,36.84,30.52,terrestrial,45,-93.17,insects,Deutsch et al. 2008
punctillum,Stethorus,NA,16.84,33.46,30.1,terrestrial,46.98,-71.48,insects,Deutsch et al. 2008
calcitrans,Stomoxys,NA,13.48,36.44,30.22,terrestrial,49.68,-112.8,insects,Deutsch et al. 2008
zaraptor,Muscidifurax,NA,14.1,37.14,30.9,terrestrial,49.9,-112.9,insects,Deutsch et al. 2008
pisum,Acyrthosiphon,NA,-1.175,32.875,24.775,terrestrial,51.53,0,insects,Deutsch et al. 2008
acerinum,Drepanosiphum,NA,3.06,26.04,21,terrestrial,52.4,1.18,insects,Deutsch et al. 2008
platanoids,Drepanosiphum,NA,-5.1,25,19.9,terrestrial,52.4,1.18,insects,Deutsch et al. 2008
farris,Acarus,NA,5.119817569,30.15362685,23.92669384,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
semiflavus,Aphelinus,NA,10.74718265,26.62901143,21.79061315,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
fusca,Busseola,NA,6.881490137,34.20643592,26.41323684,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
fusca,Busseola,NA,9.512788109,35.77090531,29.79260181,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
fusca,Busseola,NA,9.512788109,35.77090531,29.79260181,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
castorum,Cactoblastis,NA,15.50270245,35.44529429,29.56874459,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
oryzae,Calandra,NA,14.52365033,34.7280596,28.63837831,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
plutellae,Cotesia,NA,3.996038494,35.02675574,29.07560198,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
ferrugineus,Cryptolestes,NA,19.94931614,42.20368684,34.16594275,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
bimaculata,Ebcarsia,NA,14.75706218,36.33592392,30.02586105,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
furuhashii,Eretmocerus,NA,18.93187556,38.24578255,29.55481879,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
triguttatus,Gonatocerus,NA,13.43677376,35.9511783,28.59340564,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
notata,Hyperaspis,NA,14.12653299,33.9877374,28.05569419,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
hampei,Hypothenemus,NA,17.59833372,33.71751943,26.26304271,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
entomophila,Liposcelis,NA,17.60626211,37.69094496,29.87075204,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
tricolor,Liposcelis,NA,15.90234933,35.51115877,30.80291721,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
euphorbiae,Macrosiphum,NA,1.360826734,29.96319759,20.3636748,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
persicae,Myzus,NA,1.847101867,29.9935998,22.7906663,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
persicae,Myzus,NA,2.472535471,32.21122978,25.30492287,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
corylifoliella,Phyllonorycter,NA,9.743735848,34.56007762,27.49410729,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
dominica,Rhizopertha,NA,17.73621333,38.74461102,33.97536697,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
calamistis,Sesamia,NA,12.62375593,34.2251859,28.15511602,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
nonagrioides,Sesamia,NA,11.89004368,34.03783973,27.93796736,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
nonagrioides,Sesamia,NA,14.23114114,38.79359315,29.10405459,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
mwanzai,Trichogramma,NA,9.437121845,35.980442,28.20634739,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
pretoisum,Trichogramma,NA,12.72339221,35.37879684,29.21949623,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
utilis,Trioxys,NA,10.199303,26.69189779,22.65260232,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
nigriabdominalis,Tetraneura,NA,9.85993273,35.01320971,28.82135331,terrestrial,NA,NA,insects,Rezende and Bozinovic 2019
